Building classifier model for 6 classes...
Start at 20-Jun-2017 15:12:30
Initialization
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1              32    3.492818e+01    1.050554e-02    5.402844e+01    3.672316e+01     1 10 16 
       2              65    3.708096e+01    1.103892e-02    3.886256e+01    3.898305e+01     5 
       3              52    3.599280e+01    8.420234e-03    5.260664e+01    3.785311e+01     2 3 8 11 14 15 
       4             256    3.707507e+01    6.273314e-02    3.886256e+01    3.898305e+01     9 12 16 
       5              36    3.708096e+01    7.445535e-03    3.886256e+01    3.898305e+01     2 
       6              24    3.707507e+01    3.601785e-03    4.928910e+01    3.898305e+01     2 5 8 
       7             136    3.707213e+01    1.259614e-02    3.886256e+01    3.898305e+01     9 10 14 16 
       8              32    3.708096e+01    4.745673e-03    3.886256e+01    3.898305e+01     12 
       9             321    3.384885e+01    3.698726e-02    6.232227e+01    3.559322e+01     1 4 9 13 14 
      10             196    3.708096e+01    1.950208e-02    3.886256e+01    3.898305e+01     13 
      11             289    3.492818e+01    2.923134e-02    5.402844e+01    3.672316e+01     1 16 17 
      12             304    3.493112e+01    2.737058e-02    5.402844e+01    3.672316e+01     1 10 
      13              50    3.707507e+01    4.772420e-03    4.928910e+01    3.898305e+01     2 7 17 
      14             136    3.707802e+01    1.060413e-02    3.886256e+01    3.898305e+01     7 17 
      15              24    3.653835e+01    3.462765e-03    5.118483e+01    3.841808e+01     3 11 17 
      16              96    3.492818e+01    8.359588e-03    5.402844e+01    3.672316e+01     1 4 14 
      17              33    3.492818e+01    3.740184e-03    5.402844e+01    3.672316e+01     1 9 17 
      18              66    3.708096e+01    7.322997e-03    3.886256e+01    3.898305e+01     5 
      19             128    3.708096e+01    1.653848e-02    3.886256e+01    3.898305e+01     14 
      20              72    3.707802e+01    8.173605e-03    3.886256e+01    3.898305e+01     13 15 
gBest = 3.708096e+01

Iteration 1 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             422    3.492818e+01    4.806600e-02    5.924171e+01    3.446328e+01     2 5 7 9 10 12 15 16 
       2              65    3.708096e+01    1.130017e-02    3.886256e+01    3.898305e+01     5 
       3             387    3.867348e+01    5.135522e-02    5.781991e+01    4.067797e+01     3 4 5 8 9 13 15 
       4             162    3.707507e+01    1.651391e-02    5.568720e+01    3.672316e+01     7 8 9 10 12 13 14 15 17 
       5             152    3.708096e+01    1.587541e-02    6.398104e+01    3.276836e+01     3 6 7 8 12 13 14 15 17 
       6             422    3.867054e+01    4.891194e-02    6.113744e+01    4.067797e+01     3 5 6 12 13 14 15 17 
       7             422    3.707213e+01    4.622421e-02    5.616114e+01    3.672316e+01     7 8 9 10 11 12 13 15 16 
       8             359    3.708096e+01    3.715645e-02    4.478673e+01    3.107345e+01     7 8 9 12 14 15 17 
       9             422    3.759709e+01    5.551993e-02    5.947867e+01    3.954802e+01     2 4 7 8 9 10 11 16 
      10             422    3.708096e+01    6.624069e-02    3.886256e+01    3.898305e+01     7 8 9 12 15 
      11             313    3.706625e+01    3.104981e-02    5.308057e+01    3.898305e+01     2 5 7 9 11 12 
      12              47    3.493112e+01    5.818651e-03    5.473934e+01    3.615819e+01     2 5 7 9 10 12 15 16 
      13             422    3.760003e+01    5.203819e-02    5.639810e+01    3.954802e+01     3 5 11 12 13 15 16 
      14             323    3.707802e+01    3.718413e-02    4.976303e+01    3.898305e+01     6 9 11 13 15 17 
      15             368    3.760297e+01    4.833471e-02    5.616114e+01    3.954802e+01     4 6 8 10 11 13 
      16             268    3.759415e+01    2.810394e-02    5.947867e+01    3.954802e+01     2 4 7 8 9 12 14 16 17 
      17             247    3.492818e+01    3.188269e-02    7.393365e+01    3.389831e+01     2 5 7 9 10 11 12 14 15 17 
      18              66    3.708096e+01    6.058438e-03    3.886256e+01    3.898305e+01     5 
      19             240    3.708096e+01    3.226523e-02    3.886256e+01    3.898305e+01     7 8 9 12 
      20              39    3.707802e+01    4.346339e-03    4.478673e+01    3.107345e+01     7 8 9 12 15 16 17 
gBest = 3.867348e+01

Iteration 2 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             422    3.598986e+01    5.834264e-02    5.284360e+01    3.785311e+01     2 6 10 11 12 13 15 
       2             402    3.921314e+01    4.434292e-02    6.090047e+01    4.124294e+01     3 5 6 10 14 15 
       3              76    3.867348e+01    6.279254e-03    5.118483e+01    3.841808e+01     3 8 9 10 14 15 17 
       4             422    3.707507e+01    4.476527e-02    6.232227e+01    3.672316e+01     3 5 7 9 10 14 15 16 
       5             275    3.708096e+01    3.952820e-02    7.251185e+01    3.672316e+01     3 4 6 7 8 9 13 15 16 17 
       6             134    3.867054e+01    1.020635e-02    5.497630e+01    3.898305e+01     3 6 9 12 13 14 15 17 
       7             403    3.707213e+01    6.251450e-02    6.279621e+01    3.615819e+01     3 5 7 9 10 12 16 17 
       8             418    3.708096e+01    6.232727e-02    6.232227e+01    3.615819e+01     3 5 7 9 11 13 14 16 
       9             422    3.867642e+01    4.718211e-02    6.042654e+01    4.067797e+01     4 5 6 11 12 16 
      10             376    3.708096e+01    4.300247e-02    6.990521e+01    3.615819e+01     3 5 7 9 11 13 15 16 17 
      11             203    3.813970e+01    1.927691e-02    6.018957e+01    4.011299e+01     4 5 6 7 11 14 
      12             290    3.598986e+01    2.603356e-02    5.284360e+01    3.785311e+01     2 6 10 11 12 13 15 
      13             131    3.760003e+01    1.002006e-02    5.734597e+01    3.898305e+01     3 6 8 10 11 12 16 17 
      14             367    3.760297e+01    4.718958e-02    5.639810e+01    3.954802e+01     3 5 7 8 12 16 
      15             422    3.760297e+01    5.546737e-02    5.758294e+01    3.898305e+01     3 5 8 10 11 13 14 15 17 
      16              27    3.921314e+01    4.216648e-03    5.687204e+01    4.124294e+01     4 5 6 10 16 17 
      17             217    3.599280e+01    2.164119e-02    5.284360e+01    3.785311e+01     2 6 9 14 15 16 
      18             402    3.867642e+01    5.049901e-02    6.113744e+01    4.067797e+01     3 5 6 10 14 15 
      19              13    3.708096e+01    2.508281e-03    5.189573e+01    3.898305e+01     3 5 7 9 11 13 15 16 
      20             213    3.707802e+01    2.375418e-02    6.255924e+01    3.672316e+01     3 5 7 9 11 13 14 
gBest = 3.921314e+01

Iteration 3 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             171    3.598986e+01    1.778593e-02    6.943128e+01    3.615819e+01     3 6 7 8 9 12 15 16 17 
       2             195    3.921314e+01    1.639479e-02    4.928910e+01    3.898305e+01     2 7 13 15 
       3              64    3.867348e+01    5.912887e-03    6.066351e+01    3.785311e+01     3 5 6 7 10 11 12 14 15 
       4             119    3.707507e+01    1.219587e-02    6.303318e+01    3.276836e+01     3 6 7 8 11 14 15 17 
       5             422    3.708096e+01    6.638780e-02    7.867299e+01    2.429379e+01     3 4 5 7 8 10 11 13 14 16 17 
       6             406    3.920138e+01    4.522525e-02    6.018957e+01    4.124294e+01     3 5 6 8 12 13 14 15 16 17 
       7             249    3.707213e+01    3.191099e-02    6.374408e+01    3.389831e+01     3 6 7 8 11 12 14 15 16 
       8             312    3.708096e+01    3.983641e-02    7.796209e+01    2.994350e+01     3 6 7 9 10 11 12 13 14 16 
       9             161    3.867642e+01    1.294509e-02    5.189573e+01    3.559322e+01     5 7 8 10 11 12 14 
      10             351    3.708096e+01    4.539786e-02    7.819905e+01    3.220339e+01     3 6 7 9 10 11 12 13 15 17 
      11             422    3.813970e+01    4.841153e-02    5.142180e+01    3.898305e+01     4 7 12 17 
      12             298    3.598986e+01    3.182546e-02    7.180095e+01    3.672316e+01     3 6 7 8 9 12 15 16 17 
      13             250    3.760003e+01    2.940675e-02    6.303318e+01    3.559322e+01     3 5 6 9 11 12 13 14 17 
      14              80    3.760297e+01    6.484520e-03    5.213270e+01    3.785311e+01     2 7 8 10 12 13 14 
      15             319    3.760297e+01    4.180105e-02    6.966825e+01    3.502825e+01     3 5 7 9 10 12 13 14 17 
      16              90    3.921314e+01    7.575536e-03    5.829384e+01    3.615819e+01     5 7 8 9 11 13 15 17 
      17             160    3.599280e+01    1.600510e-02    6.421801e+01    3.276836e+01     3 6 7 8 9 14 16 17 
      18             194    3.867642e+01    1.846144e-02    4.928910e+01    3.898305e+01     2 7 13 15 
      19             422    3.708096e+01    5.064736e-02    6.990521e+01    3.615819e+01     3 6 7 9 10 11 12 13 16 
      20             408    3.707802e+01    5.255384e-02    7.843602e+01    2.598870e+01     3 6 7 9 10 11 12 13 15 16 
gBest = 3.921314e+01

Iteration 4 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1              82    3.759709e+01    7.926353e-03    6.066351e+01    3.954802e+01     3 5 6 9 11 13 14 17 
       2             353    3.921314e+01    4.707046e-02    6.255924e+01    3.615819e+01     3 5 7 11 13 14 17 
       3              92    3.867348e+01    8.755812e-03    6.398104e+01    3.672316e+01     3 4 5 7 10 13 15 16 
       4             263    3.707507e+01    2.514345e-02    5.142180e+01    3.898305e+01     4 7 8 9 13 15 
       5             397    3.708096e+01    5.507301e-02    8.317536e+01    2.711864e+01     3 5 6 7 8 9 10 12 14 15 16 
       6             289    3.920138e+01    3.408805e-02    5.189573e+01    3.672316e+01     3 4 8 10 13 15 16 
       7             387    3.707213e+01    4.891723e-02    5.142180e+01    3.898305e+01     4 7 8 9 11 16 
       8             105    3.708096e+01    9.005240e-03    5.142180e+01    3.898305e+01     4 7 8 10 12 17 
       9             217    3.867642e+01    2.878785e-02    7.819905e+01    2.824859e+01     3 5 6 7 8 10 11 12 13 15 
      10              80    3.708096e+01    6.719331e-03    5.236967e+01    3.559322e+01     4 7 8 10 13 14 16 
      11             300    3.813970e+01    4.201782e-02    7.914692e+01    2.768362e+01     3 5 6 7 9 10 12 14 16 17 
      12              70    3.867054e+01    6.395571e-03    6.066351e+01    4.067797e+01     3 5 6 9 11 13 14 17 
      13              59    3.760003e+01    6.205856e-03    5.947867e+01    3.446328e+01     3 5 6 8 9 10 11 13 16 17 
      14             422    3.760297e+01    4.270142e-02    5.639810e+01    3.954802e+01     3 5 7 13 14 17 
      15             422    3.760297e+01    4.821186e-02    5.118483e+01    3.841808e+01     3 10 11 12 15 
      16             422    3.921314e+01    7.157137e-02    7.890995e+01    3.276836e+01     3 5 6 7 8 10 11 12 14 17 
      17             413    3.599280e+01    5.332203e-02    6.327014e+01    3.615819e+01     3 5 6 9 11 13 14 16 17 
      18             353    3.867642e+01    4.615361e-02    6.255924e+01    3.559322e+01     3 5 7 11 13 14 17 
      19             358    3.708096e+01    3.813737e-02    5.260664e+01    3.559322e+01     4 7 8 10 13 15 16 
      20             422    3.707802e+01    5.597244e-02    5.284360e+01    3.559322e+01     4 7 8 10 13 14 16 17 
gBest = 3.921314e+01

Iteration 5 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             258    3.759709e+01    2.960082e-02    6.895735e+01    2.937853e+01     3 5 6 7 8 10 11 13 
       2             420    3.921314e+01    6.164586e-02    7.890995e+01    2.937853e+01     4 5 6 7 10 11 12 13 14 17 
       3             422    3.867348e+01    4.356820e-02    5.876777e+01    3.728814e+01     3 4 6 8 9 11 15 16 
       4             422    3.707507e+01    4.810985e-02    5.284360e+01    3.502825e+01     4 7 8 9 12 13 14 16 
       5              37    3.708096e+01    4.615361e-03    5.734597e+01    3.785311e+01     3 5 6 8 12 17 
       6             286    3.920726e+01    2.614272e-02    6.090047e+01    4.124294e+01     3 5 6 8 9 10 11 17 
       7             270    3.707213e+01    2.997932e-02    5.260664e+01    3.559322e+01     4 7 8 9 11 12 15 
       8             142    3.708096e+01    1.052607e-02    5.308057e+01    3.615819e+01     4 7 8 10 11 13 16 17 
       9              47    3.867642e+01    5.359914e-03    5.853081e+01    3.615819e+01     3 4 5 7 14 15 16 17 
      10             422    3.708096e+01    4.556083e-02    5.308057e+01    3.559322e+01     4 7 8 10 11 14 15 
      11             422    3.813970e+01    4.660239e-02    6.753555e+01    3.220339e+01     3 4 6 7 9 11 12 16 
      12             172    3.867054e+01    1.633166e-02    6.824645e+01    3.163842e+01     3 5 6 7 8 10 11 13 
      13             104    3.760003e+01    8.836674e-03    6.184834e+01    3.615819e+01     3 5 7 9 10 13 15 16 
      14             173    3.920138e+01    1.806273e-02    6.042654e+01    4.124294e+01     4 5 6 8 12 13 14 15 16 17 
      15              25    3.760297e+01    3.242571e-03    5.545024e+01    3.728814e+01     4 5 6 7 9 10 11 12 13 14 15 16 17 
      16             123    3.921314e+01    1.167058e-02    6.137441e+01    3.841808e+01     3 4 5 8 9 10 11 13 14 
      17             159    3.599280e+01    1.539148e-02    6.729858e+01    3.446328e+01     3 4 5 8 9 10 11 14 16 17 
      18             421    3.867642e+01    5.504595e-02    7.890995e+01    2.881356e+01     4 5 6 7 10 11 12 13 14 17 
      19             422    3.708096e+01    4.953084e-02    5.308057e+01    3.559322e+01     4 7 8 10 11 14 17 
      20             262    3.707802e+01    3.119723e-02    5.284360e+01    3.446328e+01     4 7 8 10 11 14 15 16 
gBest = 3.921314e+01

Iteration 6 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             146    3.759709e+01    1.460867e-02    6.990521e+01    3.559322e+01     3 5 7 8 9 11 12 14 17 
       2              34    3.921314e+01    4.430933e-03    5.213270e+01    3.672316e+01     3 4 11 15 
       3             152    3.867348e+01    1.237875e-02    5.639810e+01    3.954802e+01     3 5 7 9 10 16 
       4             270    3.707507e+01    2.594741e-02    5.379147e+01    3.785311e+01     3 7 8 11 12 13 14 15 16 
       5              27    3.708096e+01    3.050057e-03    5.379147e+01    3.785311e+01     3 4 6 7 9 10 12 13 15 16 
       6             380    3.920726e+01    4.813722e-02    5.639810e+01    3.954802e+01     3 5 7 16 17 
       7             276    3.707213e+01    2.861182e-02    5.426540e+01    3.785311e+01     3 7 8 10 13 14 15 16 
       8             271    3.708096e+01    2.786602e-02    5.260664e+01    3.615819e+01     3 7 8 12 14 15 16 
       9             422    3.867642e+01    4.377782e-02    6.018957e+01    4.067797e+01     4 5 6 8 10 14 17 
      10             409    3.708096e+01    5.928872e-02    5.118483e+01    3.841808e+01     3 7 8 12 14 17 
      11              10    3.974104e+01    2.074735e-03    5.331754e+01    4.180791e+01     4 5 6 7 8 9 13 14 15 
      12             163    3.867054e+01    1.736576e-02    6.895735e+01    3.898305e+01     3 5 7 8 9 11 12 14 17 
      13             122    3.760003e+01    9.742641e-03    5.639810e+01    3.615819e+01     3 5 9 10 11 13 14 15 16 
      14             422    3.920138e+01    5.744725e-02    5.568720e+01    3.954802e+01     3 6 7 9 12 14 
      15             358    3.760297e+01    3.874042e-02    6.255924e+01    3.672316e+01     3 6 7 9 10 11 12 14 
      16             297    3.921314e+01    3.922186e-02    6.563981e+01    3.615819e+01     4 5 6 8 10 12 14 15 16 17 
      17             422    3.759709e+01    4.340398e-02    5.758294e+01    3.954802e+01     3 4 5 8 10 13 16 17 
      18              34    3.867642e+01    4.134542e-03    5.213270e+01    3.672316e+01     3 4 11 15 
      19              54    3.708096e+01    4.789836e-03    5.260664e+01    3.615819e+01     3 7 8 12 15 16 17 
      20             422    3.707802e+01    4.871351e-02    5.118483e+01    3.841808e+01     3 7 8 12 14 16 
gBest = 3.974104e+01

Iteration 7 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             208    3.759709e+01    1.781579e-02    5.118483e+01    3.841808e+01     3 13 15 
       2              18    3.921314e+01    3.131541e-03    5.260664e+01    3.728814e+01     3 5 7 10 11 13 17 
       3             128    3.867348e+01    9.651204e-03    5.497630e+01    3.954802e+01     3 6 9 11 12 14 16 
       4              37    3.707507e+01    3.473339e-03    5.142180e+01    3.898305e+01     4 7 9 11 
       5             208    3.708096e+01    2.082262e-02    6.848341e+01    3.107345e+01     3 5 6 7 8 10 11 12 
       6             211    3.920726e+01    1.789230e-02    5.118483e+01    3.841808e+01     3 8 9 12 16 17 
       7              80    3.707213e+01    7.405726e-03    5.616114e+01    3.841808e+01     4 7 9 11 12 14 15 16 17 
       8             300    3.708096e+01    2.629387e-02    5.142180e+01    3.898305e+01     4 7 10 11 14 16 
       9             275    3.867642e+01    3.340041e-02    5.284360e+01    3.898305e+01     5 6 8 11 12 15 17 
      10             294    3.708096e+01    2.539413e-02    5.142180e+01    3.898305e+01     4 7 10 11 16 17 
      11             422    3.974104e+01    4.332126e-02    5.189573e+01    3.728814e+01     4 8 9 11 13 15 16 17 
      12             254    3.867054e+01    3.043868e-02    5.118483e+01    3.841808e+01     3 13 15 
      13             235    3.760003e+01    3.163077e-02    7.251185e+01    3.841808e+01     4 5 6 7 8 9 12 16 17 
      14             136    3.920138e+01    9.619793e-03    5.118483e+01    3.841808e+01     3 11 13 15 16 
      15             202    3.760297e+01    2.117872e-02    6.161137e+01    3.446328e+01     4 5 8 9 10 11 12 13 15 16 
      16             422    3.974104e+01    6.084656e-02    5.734597e+01    4.180791e+01     5 6 8 10 13 14 15 16 17 
      17             422    3.759709e+01    5.644891e-02    5.118483e+01    3.841808e+01     3 7 8 9 12 
      18              18    3.867642e+01    2.930319e-03    5.165877e+01    3.898305e+01     3 5 7 10 11 13 17 
      19             360    3.708096e+01    3.594259e-02    5.284360e+01    3.559322e+01     4 7 10 12 13 14 15 16 17 
      20              97    3.707802e+01    7.499961e-03    5.142180e+01    3.898305e+01     4 7 10 11 15 17 
gBest = 3.974104e+01

Iteration 8 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             308    3.759709e+01    3.313574e-02    6.848341e+01    3.841808e+01     4 5 7 8 9 12 13 14 16 17 
       2             408    3.921314e+01    5.356400e-02    5.639810e+01    3.954802e+01     4 5 7 9 11 17 
       3             422    3.867348e+01    4.285568e-02    5.118483e+01    3.841808e+01     3 11 12 
       4              27    3.707507e+01    3.350180e-03    5.260664e+01    3.615819e+01     4 7 8 10 11 13 16 17 
       5             306    3.920726e+01    2.844045e-02    6.042654e+01    4.124294e+01     4 5 6 10 12 13 14 15 
       6             233    3.920726e+01    2.153700e-02    6.066351e+01    4.011299e+01     4 5 6 8 11 12 15 
       7             376    3.707213e+01    4.877634e-02    5.284360e+01    3.559322e+01     4 7 8 10 11 12 17 
       8             314    3.708096e+01    2.989068e-02    5.284360e+01    3.502825e+01     4 7 8 10 12 14 15 16 
       9             317    3.867642e+01    3.520021e-02    6.303318e+01    3.615819e+01     4 5 6 9 10 11 12 14 16 
      10             179    3.708096e+01    1.413159e-02    5.236967e+01    3.559322e+01     4 7 8 10 12 14 15 
      11              19    3.974104e+01    3.378481e-03    5.545024e+01    3.954802e+01     4 5 6 8 11 12 
      12             302    3.867054e+01    3.437822e-02    6.872038e+01    3.728814e+01     4 5 7 8 9 12 13 14 16 17 
      13              78    3.813382e+01    7.176513e-03    6.090047e+01    4.011299e+01     4 5 6 12 14 15 16 17 
      14             170    3.920138e+01    2.000684e-02    6.729858e+01    3.841808e+01     4 5 7 9 10 12 14 15 17 
      15             256    3.760297e+01    2.693268e-02    6.303318e+01    3.559322e+01     4 6 7 8 9 11 15 17 
