Parameter setting:
max_iteration = 10
particle = 20
feature = 17
split data = 0.7 & 0.3
W = 0.6;
c1 = 1.2;
c2 = 1.2;
weight initialization = -1 ... 1
data normalization = -1 ... 1

Building classifier model for 6 classes...
Start at 19-Jun-2017 09:05:02
Initialization
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1            4846    2.410915e+01    1.085216e+02    3.967651e+01    2.532852e+01     1 
       2            1026    3.643374e+01    1.408332e+01    3.827004e+01    3.830486e+01     3 9 
       3              40    2.412859e+01    5.967282e-02    3.966245e+01    2.536137e+01     1 8 11 12 16 
       4            2213    2.410032e+01    1.445183e+01    3.967651e+01    2.532852e+01     1 5 14 16 
       5            4096    3.643668e+01    9.611250e+02    3.827004e+01    3.830486e+01     10 
       6            4195    2.410327e+01    5.992843e+01    3.967651e+01    2.532852e+01     1 13 16 
       7            2216    4.051917e+01    1.298790e+01    4.933896e+01    4.260841e+01     2 3 10 
       8             524    4.282863e+01    9.821721e-01    4.766526e+01    4.503942e+01     3 10 15 
       9            4418    3.642785e+01    1.200105e+03    3.827004e+01    3.830486e+01     9 10 11 15 
      10            4120    3.643668e+01    9.832975e+02    3.827004e+01    3.830486e+01     12 
      11            1064    4.013878e+01    3.433344e+00    4.729958e+01    4.221419e+01     2 5 7 13 17 
      12            4224    4.278859e+01    6.628525e+01    4.769339e+01    4.500657e+01     4 7 11 13 14 17 
      13              40    4.063518e+01    4.426112e-02    4.748242e+01    4.273982e+01     2 5 10 11 13 14 
      14             131    4.279448e+01    1.879963e-01    4.769339e+01    4.500657e+01     4 9 12 15 
      15              67    2.410032e+01    9.299641e-02    3.967651e+01    2.532852e+01     1 9 14 16 
      16            1448    4.282569e+01    5.228848e+00    4.767932e+01    4.503942e+01     4 8 13 16 
      17            4204    3.643374e+01    1.058744e+03    3.827004e+01    3.830486e+01     9 10 
      18             256    3.888748e+01    6.665483e-01    4.665260e+01    4.090013e+01     1 2 8 13 14 17 
      19             800    2.413742e+01    2.135940e+00    3.970464e+01    2.536137e+01     1 17 
      20            4480    3.643374e+01    1.265504e+03    3.827004e+01    3.830486e+01     6 12 
gBest = 4.282863e+01

Iteration 1 of 10
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
