Building classifier model for 4 classes...
Start at 20-Jun-2017 15:09:56
Initialization
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1              18    3.525413e+01    1.196821e-02    5.653207e+01    3.707865e+01     2 3 6 7 9 11 16 
       2             274    4.060297e+01    4.027929e-02    5.296912e+01    4.269663e+01     2 9 14 
       3             258    3.739779e+01    3.430358e-02    5.534442e+01    3.932584e+01     3 13 14 16 
       4             131    4.060297e+01    1.205872e-02    5.296912e+01    4.269663e+01     2 5 17 
       5              17    4.167039e+01    2.930941e-03    4.346793e+01    4.382022e+01     6 11 13 
       6             128    4.167039e+01    1.568881e-02    4.346793e+01    4.382022e+01     5 15 17 
       7             258    4.754118e+01    3.078483e-02    7.909739e+01              50     1 2 3 
       8             133    4.113668e+01    1.136735e-02    7.292162e+01    4.325843e+01     1 3 9 
       9             145    3.740367e+01    1.069744e-02    5.866983e+01    3.932584e+01     1 8 
      10              72    4.167333e+01    7.573048e-03    4.346793e+01    4.382022e+01     9 10 
      11             162    4.167333e+01    1.603931e-02    4.346793e+01    4.382022e+01     5 17 
      12              19    4.113374e+01    3.424511e-03    6.152019e+01    4.325843e+01     1 2 12 13 
      13              64    4.167333e+01    8.354611e-03    4.346793e+01    4.382022e+01     12 16 
      14             288    4.167039e+01    3.100533e-02    4.346793e+01    4.382022e+01     7 9 12 
      15             257    3.740367e+01    2.979676e-02    5.866983e+01    3.932584e+01     1 7 
      16             261    4.167333e+01    4.246754e-02    4.346793e+01    4.382022e+01     14 17 
      17             272    4.167039e+01    4.699768e-02    4.346793e+01    4.382022e+01     4 12 14 
      18             101    4.167627e+01    1.671264e-02    4.346793e+01    4.382022e+01     3 
      19             130    3.739190e+01    1.264341e-02    5.866983e+01    3.932584e+01     1 7 9 12 14 16 
      20              17    4.005750e+01    2.648545e-03    5.486936e+01    4.213483e+01     2 7 8 10 13 14 15 
gBest = 4.754118e+01

Iteration 1 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1              14    4.484323e+01    8.945216e-03    6.508314e+01    4.719101e+01     1 2 3 4 6 7 8 9 11 13 14 15 16 
       2             303    4.060297e+01    4.779449e-02    9.239905e+01    3.932584e+01     1 2 3 4 5 6 7 8 12 13 14 15 17 
       3             421    3.899009e+01    6.539848e-02    6.603325e+01    4.101124e+01     1 7 9 11 12 13 15 
       4             375    4.060297e+01    5.847077e-02    8.907363e+01    4.157303e+01     1 2 3 4 5 6 8 9 11 13 17 
       5             421    4.485793e+01    5.125165e-02    7.268409e+01    4.719101e+01     1 6 8 10 11 12 15 17 
       6             421    4.219527e+01    5.541667e-02    6.650831e+01    4.438202e+01     1 6 8 12 15 17 
       7             258    4.754118e+01    3.274605e-02    7.814727e+01    4.943820e+01     1 2 3 
       8             226    4.539164e+01    2.635452e-02    8.551069e+01    4.775281e+01     1 2 3 5 6 10 11 14 
       9             208    3.898420e+01    2.409069e-02    8.646081e+01    4.101124e+01     1 2 3 4 7 9 13 16 17 
      10             421    4.433011e+01    5.780459e-02    6.627078e+01    4.662921e+01     1 6 8 9 10 13 
      11             421    4.326269e+01    5.537500e-02    6.650831e+01    4.550562e+01     1 6 8 12 15 17 
      12              77    4.432128e+01    8.197241e-03    7.695962e+01    4.662921e+01     1 2 3 6 7 11 12 13 15 
      13             421    4.379052e+01    5.142488e-02    7.220903e+01    4.606742e+01     1 6 8 9 10 12 13 16 
      14             421    4.379052e+01    6.400610e-02    7.315914e+01    4.606742e+01     1 6 8 9 12 13 15 17 
      15             236    3.897832e+01    3.084610e-02    9.002375e+01    4.101124e+01     1 2 3 4 7 10 12 14 15 16 17 
