Building classifier model for 2 classes...
Start at 20-Jun-2017 14:44:37
Initialization
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1              64    4.780360e+01    1.336029e-02    8.476190e+01    5.027933e+01     1 3 5 11 
       2              33    5.788151e+01    6.762250e-03    8.642857e+01    6.089385e+01     1 2 4 5 8 16 
       3              66    6.531462e+01    8.383224e-03    6.880952e+01    6.871508e+01     7 8 10 12 14 
       4              65    6.531756e+01    8.913493e-03    6.880952e+01    6.871508e+01     7 8 10 11 
       5             176    5.947958e+01    1.666724e-02    7.928571e+01    6.256983e+01     2 3 8 12 
       6              80    6.532051e+01    7.975804e-03    6.880952e+01    6.871508e+01     9 10 13 
       7             384    6.531756e+01    5.343866e-02    6.880952e+01    6.871508e+01     11 12 13 14 
       8             132    5.841812e+01    9.470198e-03    7.142857e+01    6.145251e+01     3 5 8 9 
       9             128    6.532345e+01    1.883994e-02    6.880952e+01    6.871508e+01     5 7 
      10              37    6.425905e+01    4.230022e-03    8.357143e+01    6.759777e+01     1 2 10 
      11              34    6.532639e+01    7.051176e-03    6.880952e+01    6.871508e+01     17 
      12             256    6.531756e+01    5.788825e-02    6.880952e+01    6.871508e+01     7 8 10 17 
      13             128    6.532345e+01    1.560981e-02    6.880952e+01    6.871508e+01     7 15 
      14             192    6.161130e+01    1.526086e-02    8.023810e+01    6.480447e+01     1 
      15              36    5.257719e+01    4.137341e-03    8.476190e+01    5.530726e+01     1 3 9 13 14 
      16              64    5.788740e+01    5.880231e-03    7.119048e+01    6.089385e+01     4 6 9 16 
      17              36    6.159954e+01    4.565599e-03    8.023810e+01    6.480447e+01     1 6 8 12 14 
      18              36    6.531168e+01    3.891023e-03    6.952381e+01    6.871508e+01     6 7 9 11 15 16 
      19              70    6.532345e+01    6.637225e-03    6.880952e+01    6.871508e+01     10 12 
      20             256    6.532051e+01    4.537391e-02    6.880952e+01    6.871508e+01     5 15 16 
gBest = 6.532639e+01

Iteration 1 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             369    5.787857e+01    5.071796e-02    8.285714e+01    6.089385e+01     2 3 7 8 9 10 11 
       2             252    6.159366e+01    2.169624e-02    8.023810e+01    6.480447e+01     1 9 10 11 13 16 17 
       3             399    6.531462e+01    4.682103e-02    6.880952e+01    6.871508e+01     8 9 10 11 12 13 15 
       4              18    6.532051e+01    3.274605e-03    6.880952e+01    6.871508e+01     7 16 17 
       5             394    5.947958e+01    4.118712e-02    7.523810e+01    5.865922e+01     3 4 5 8 9 11 13 16 
       6              76    6.532051e+01    1.330586e-02    6.880952e+01    6.871508e+01     10 11 12 14 15 16 
       7              84    6.532345e+01    7.407903e-03    6.880952e+01    6.871508e+01     11 14 
       8              29    5.841812e+01    3.203695e-03    7.214286e+01    5.418994e+01     4 5 9 11 14 15 16 17 
       9              72    6.532345e+01    5.846331e-03    6.952381e+01    6.871508e+01     6 8 9 10 11 12 16 
      10             231    6.425905e+01    2.294991e-02    8.261905e+01    5.921788e+01     2 3 4 7 11 12 14 16 
      11              34    6.532639e+01    5.401900e-03    6.880952e+01    6.871508e+01     17 
      12             420    6.531756e+01    4.307960e-02    6.833333e+01    6.424581e+01     8 9 10 11 13 14 15 17 
      13             138    6.532345e+01    1.625080e-02    6.880952e+01    6.871508e+01     8 11 12 16 17 
      14             314    6.161130e+01    2.939400e-02    7.880952e+01    5.921788e+01     2 5 6 13 15 
      15             387    5.520730e+01    6.070319e-02    9.761905e+01    5.810056e+01     2 4 5 6 7 8 10 12 13 14 15 16 17 
      16             420    6.743459e+01    4.152923e-02    7.095238e+01    7.094972e+01     5 6 11 13 14 15 
      17             420    6.159954e+01    5.729361e-02    8.380952e+01    5.754190e+01     2 5 6 7 8 13 14 15 
      18              37    6.531168e+01    4.206074e-03    7.523810e+01    6.089385e+01     7 8 9 10 11 12 16 17 
      19             288    6.532345e+01    2.716874e-02    6.880952e+01    6.871508e+01     11 13 14 15 16 17 
      20             277    6.532051e+01    3.474023e-02    6.880952e+01    6.871508e+01     6 9 10 15 17 
gBest = 6.743459e+01

Iteration 2 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             296    5.787857e+01    2.766604e-02    7.357143e+01    5.307263e+01     3 6 10 11 13 15 17 
       2             420    6.159366e+01    4.359992e-02    8.166667e+01    6.089385e+01     3 4 7 9 10 12 13 15 17 
       3             102    6.743165e+01    7.337926e-03    7.095238e+01    7.094972e+01     5 6 8 9 11 12 15 
       4             300    6.636725e+01    3.511002e-02    7.095238e+01    6.983240e+01     5 6 11 12 13 14 15 16 
       5              51    5.947958e+01    6.597416e-03    8.023810e+01    6.201117e+01     4 5 7 10 11 13 14 15 16 17 
       6             420    6.796237e+01    4.466139e-02    7.095238e+01    7.150838e+01     5 6 8 10 12 13 16 
       7             192    6.583947e+01    1.606606e-02    7.119048e+01    6.927374e+01     5 6 8 11 13 14 17 
       8             285    5.841812e+01    3.677267e-02    7.119048e+01    6.089385e+01     4 7 9 10 11 15 
       9             259    6.532345e+01    2.842552e-02    7.476190e+01    6.256983e+01     5 6 7 9 12 13 15 
      10              26    6.425905e+01    3.570062e-03    7.952381e+01    6.424581e+01     3 6 7 8 10 12 13 14 15 16 17 
      11             373    6.532639e+01    3.994184e-02    7.404762e+01    5.865922e+01     5 6 8 11 12 13 14 15 
      12             420    6.531756e+01    4.317290e-02    8.166667e+01    5.810056e+01     5 6 8 9 11 13 14 15 16 
      13             174    6.532345e+01    1.294665e-02    6.880952e+01    6.871508e+01     5 6 8 9 14 
      14               3    6.212438e+01    2.511391e-03    6.928571e+01    6.536313e+01     4 5 6 7 9 11 14 
      15             243    5.575567e+01    2.792076e-02    7.523810e+01    5.865922e+01     3 7 11 13 14 16 17 
